,ID,downlink deq_qdepth,downlink deq_timedelta,downlink enq_qdepth,time,uplink deq_qdepth,uplink deq_timedelta,uplink enq_qdepth
0,Ex8,0,1935,3,2024-01-12 19:58:37.875445635,0,65,0
1,Ex8,0,79,0,2024-01-12 19:58:39.500247864,0,107,0
2,Ex8,0,23,0,2024-01-12 19:58:39.734098246,0,30,0
3,Ex8,1,3740,7,2024-01-12 19:58:39.996793348,0,29,0
4,Ex8,0,24,0,2024-01-12 19:58:40.378360304,0,41,0
5,Ex8,0,1608,3,2024-01-12 19:58:40.580609337,0,25,0
6,Ex8,1,3634,7,2024-01-12 19:58:41.501755647,0,38,0
7,Ex8,0,23,0,2024-01-12 19:58:41.903704409,0,333,0
8,Ex8,5,845,1,2024-01-12 19:58:42.513871819,0,456,0
9,Ex8,0,2788,5,2024-01-12 19:58:43.525255960,0,35,0
10,Ex8,0,41,0,2024-01-12 19:58:44.532785904,0,33,0
11,Ex8,0,22,0,2024-01-12 19:58:45.542506745,0,37,0
12,Ex8,0,39,0,2024-01-12 19:58:46.566764426,0,46,0
13,Ex8,0,121,0,2024-01-12 19:58:47.574472656,0,67,0
14,Ex8,0,23,0,2024-01-12 19:58:48.616252495,0,40,0
15,Ex8,0,701,1,2024-01-12 19:58:49.599689742,0,30,0
16,Ex8,0,24,0,2024-01-12 19:58:50.609353848,0,25,0
17,Ex8,0,25,0,2024-01-12 19:58:51.616319366,0,40,0
18,Ex8,3,3051,6,2024-01-12 19:58:52.643162339,0,67,0
19,Ex8,0,46,0,2024-01-12 19:58:53.674356621,0,66,0
20,Ex8,0,1115,2,2024-01-12 19:58:54.766516460,0,57,0
21,Ex8,8,3099,6,2024-01-12 19:58:55.860149366,0,57,0
22,Ex8,0,24,0,2024-01-12 19:58:56.907274022,0,25,0
23,Ex8,4,5615,11,2024-01-12 19:58:57.919624381,0,60,0
24,Ex8,5,5875,11,2024-01-12 19:58:58.934404303,0,26,0
25,Ex8,0,25,0,2024-01-12 19:58:59.941913016,0,41,0
26,Ex8,0,4280,8,2024-01-12 19:59:00.948309817,0,34,0
27,Ex8,0,22,0,2024-01-12 19:59:01.994598807,0,23,0
28,Ex8,1,2127,4,2024-01-12 19:59:03.008844299,0,19,0
29,Ex8,1,5677,11,2024-01-12 19:59:04.051227981,0,21,0
30,Ex8,1,134,0,2024-01-12 19:59:05.096687903,0,931,1
31,Ex8,0,21,0,2024-01-12 19:59:06.142273081,0,24,0
32,Ex8,2,7083,14,2024-01-12 19:59:07.175790251,0,39,0
33,Ex8,1,4305,8,2024-01-12 19:59:08.235309408,0,24,0
34,Ex8,4,607,1,2024-01-12 19:59:09.245329455,0,28,0
35,Ex8,0,24,0,2024-01-12 19:59:10.301786774,0,38,0
36,Ex8,0,23,0,2024-01-12 19:59:11.309250335,0,22,0
37,Ex8,62,22342,44,2024-01-12 19:59:12.338490687,0,1071,2
38,Ex8,0,22,0,2024-01-12 19:59:13.409307009,0,24,0
39,Ex8,1,6623,13,2024-01-12 19:59:14.460493891,0,38,0
40,Ex8,0,24,0,2024-01-12 19:59:15.505700413,0,413,0
41,Ex8,0,4214,8,2024-01-12 19:59:16.557743536,0,68,0
42,Ex8,0,22,0,2024-01-12 19:59:17.585536224,0,25,0
43,Ex8,1,655,1,2024-01-12 19:59:18.722298348,0,38,0
44,Ex8,0,5031,10,2024-01-12 19:59:19.724143165,0,23,0
45,Ex8,0,7919,15,2024-01-12 19:59:20.743054056,0,26,0
46,Ex8,0,26,0,2024-01-12 19:59:21.780106905,0,132,0
47,Ex8,0,31,0,2024-01-12 19:59:22.831316490,0,40,0
48,Ex8,1,6601,13,2024-01-12 19:59:24.006221105,0,26,0
49,Ex8,3,407,0,2024-01-12 19:59:25.061388986,0,45,0
50,Ex8,0,6275,12,2024-01-12 19:59:26.094824443,0,38,0
51,Ex8,0,23,0,2024-01-12 19:59:27.173143793,0,23,0
52,Ex8,0,24,0,2024-01-12 19:59:28.240914003,0,36,0
53,Ex8,0,25,0,2024-01-12 19:59:29.271695513,0,24,0
54,Ex8,1,2629,5,2024-01-12 19:59:30.308963972,0,358,0
55,Ex8,1,312,1,2024-01-12 19:59:31.338505509,0,19,0
56,Ex8,31,16366,32,2024-01-12 19:59:32.537327560,0,39,0
57,Ex8,0,20,0,2024-01-12 19:59:33.614835854,1,1021,1
58,Ex8,0,6054,12,2024-01-12 19:59:34.637389353,0,36,0
59,Ex8,0,24,0,2024-01-12 19:59:35.689106146,0,25,0
60,Ex8,0,23,0,2024-01-12 19:59:36.752608675,0,23,0
61,Ex8,0,43,0,2024-01-12 19:59:37.813295966,0,42,0
62,Ex8,0,25,0,2024-01-12 19:59:38.885077834,0,36,0
63,Ex8,0,24,0,2024-01-12 19:59:39.921908484,0,22,0
64,Ex8,0,24,0,2024-01-12 19:59:41.024552627,0,24,0
65,Ex8,0,2534,5,2024-01-12 19:59:42.092605678,1,733,1
66,Ex8,0,23,0,2024-01-12 19:59:43.243125438,0,39,0
67,Ex8,0,40,0,2024-01-12 19:59:44.284090000,0,56,0
68,Ex8,0,36,0,2024-01-12 19:59:45.414376072,0,40,0
69,Ex8,0,3031,6,2024-01-12 19:59:46.377642718,0,40,0
70,Ex8,24,3263,6,2024-01-12 19:59:47.409817774,0,36,0
71,Ex8,0,23,0,2024-01-12 19:59:48.455488329,0,35,0
72,Ex8,0,3026,5,2024-01-12 19:59:49.528280077,0,26,0
73,Ex8,0,23,0,2024-01-12 19:59:50.662314374,0,27,0
74,Ex8,0,237,0,2024-01-12 19:59:51.691402373,0,30,0
75,Ex8,0,34,0,2024-01-12 19:59:52.705931773,0,37,0
76,Ex8,0,40,0,2024-01-12 19:59:53.720128230,0,38,0
77,Ex8,0,36,0,2024-01-12 19:59:54.837385680,0,228,0
78,Ex8,0,39,0,2024-01-12 19:59:55.839941881,0,41,0
79,Ex8,3,3423,6,2024-01-12 19:59:56.892531793,0,38,0
80,Ex8,1,1064,2,2024-01-12 19:59:57.941961324,0,384,0
81,Ex8,0,24,0,2024-01-12 19:59:59.001360539,0,35,0
82,Ex8,0,78,0,2024-01-12 20:00:00.108920720,1,335,0
83,Ex8,2,6432,12,2024-01-12 20:00:01.194221876,0,25,0
84,Ex8,0,43,0,2024-01-12 20:00:02.145923930,0,65,0
85,Ex8,2,6641,13,2024-01-12 20:00:03.192713288,0,36,0
86,Ex8,0,728,1,2024-01-12 20:00:04.244128131,0,36,0
87,Ex8,0,25,0,2024-01-12 20:00:05.258720327,0,33,0
88,Ex8,0,820,1,2024-01-12 20:00:06.502472868,0,24,0
89,Ex8,0,36,0,2024-01-12 20:00:07.507182067,0,62,0
90,Ex8,0,6305,12,2024-01-12 20:00:08.542425192,0,61,0
91,Ex8,3,3479,6,2024-01-12 20:00:09.813749535,0,63,0
92,Ex8,0,43,0,2024-01-12 20:00:11.010349706,0,96,0
93,Ex8,0,21,0,2024-01-12 20:00:12.001236364,0,34,0
94,Ex8,2,3639,7,2024-01-12 20:00:13.135452638,0,8294,16
95,Ex8,2,5600,11,2024-01-12 20:00:14.151550904,0,34,0
96,Ex8,1,4875,9,2024-01-12 20:00:15.179462226,0,34,0
97,Ex8,0,4050,8,2024-01-12 20:00:16.225688071,0,24,0
98,Ex8,0,4392,8,2024-01-12 20:00:17.260336884,0,720,1
