ID,SrcIP,DstIP,SrcPort,DstPort,IPVersion,Protocol,PS,IPI,FlowSizeBytes,FlowSizePackets,FS,FS(PKT),NumFrames,IFI
127,4.151.113.44,10.0.0.20,443,13273,IP,TCP,508.6363636363636,1.0633159511,5595,11,621.6666666666666,1.2222222222222223,9,0.069917762375
128,10.0.0.20,10.0.0.16,50989,53,IP,UDP,74.0,0,74,1,74.0,1.0,1,0
129,10.0.0.20,10.0.0.16,65062,53,IP,UDP,74.0,0,74,1,74.0,1.0,1,0
130,10.0.0.16,10.0.0.20,53,65062,IP,UDP,282.0,0,282,1,282.0,1.0,1,0
131,10.0.0.16,10.0.0.20,53,50989,IP,UDP,359.0,0,359,1,359.0,1.0,1,0
132,10.0.0.20,20.190.173.145,13279,443,IP,TCP,359.94444444444446,0.03131139570588235294117647059,6479,18,647.9,1.8,10,0.05914374744444444444444444444
133,20.190.173.145,10.0.0.20,443,13279,IP,TCP,1546.1818181818182,0.0531987991,17008,11,1889.7777777777778,1.2222222222222223,9,0.066498492
134,10.0.0.20,239.255.255.250,65063,1900,IP,UDP,216.0,1.004398071666666666666666667,864,4,864.0,4.0,1,0
135,10.0.0.17,10.0.0.20,49830,65063,IP,UDP,372.0,0.07042605766666666666666666667,1488,4,1488.0,4.0,1,0
136,10.0.0.20,10.0.0.16,57272,53,IP,UDP,83.0,0,83,1,83.0,1.0,1,0
137,10.0.0.20,10.0.0.16,63085,53,IP,UDP,83.0,0,83,1,83.0,1.0,1,0
138,10.0.0.16,10.0.0.20,53,57272,IP,UDP,156.0,0,156,1,156.0,1.0,1,0
139,10.0.0.16,10.0.0.20,53,63085,IP,UDP,156.0,0,156,1,156.0,1.0,1,0
140,10.0.0.17,10.0.0.20,59595,65063,IP,UDP,372.0,0.06932773933333333333333333333,1488,4,1488.0,4.0,1,0
141,10.0.0.17,10.0.0.20,57631,65063,IP,UDP,372.0,0.07946962033333333333333333333,1488,4,1488.0,4.0,1,0
142,10.0.0.17,10.0.0.20,50263,65063,IP,UDP,372.0,0.06274086266666666666666666667,1488,4,1488.0,4.0,1,0
143,10.0.0.121,10.0.0.255,138,138,IP,UDP,248.0,262.811846271,496,2,248.0,1.0,2,262.811846271
144,10.0.0.20,10.0.0.16,53145,53,IP,UDP,93.0,0,93,1,93.0,1.0,1,0
145,10.0.0.20,10.0.0.16,59310,53,IP,UDP,93.0,0,93,1,93.0,1.0,1,0
146,10.0.0.20,10.0.0.16,57176,53,IP,UDP,93.0,0,93,1,93.0,1.0,1,0
