ID,SrcIP,DstIP,SrcPort,DstPort,IPVersion,Protocol,PS,IPI,FlowSizeBytes,FlowSizePackets,FS,FS(PKT),NumFrames,IFI
1,13.104.99.132,200.18.102.16,1039,65069,IP,UDP,1065.5587650382752,0.001006920319280443733075629914,952664945,894052,4108.191436604656,3.855433948269468,231894,0.003882106336719952736822586279
2,200.18.102.16,13.104.99.132,65069,1039,IP,UDP,139.4509993781647,0.007996977378105872842434418001,15697999,112570,178.95371689789218,1.2832731045017727,87721,0.01026233181117191062471500228
3,200.18.102.16,34.196.233.7,12304,443,IP,TCP,253.90584166026133,0.3450172919111880046136101499,660663,2602,254.29676674364896,1.0015396458814472,2598,0.3454141087793608009241432422
4,34.196.233.7,200.18.102.16,443,12304,IP,TCP,209.58195316961735,0.5127027971748571428571428571,366978,1751,210.3025787965616,1.0034383954154729,1745,0.5144666829449541284403669725
5,200.18.102.3,200.18.102.16,22,12180,IP,TCP,98.0,0.5603495926978193146417445483,157388,1606,157388.0,1606.0,1,0
6,199.46.35.126,200.18.102.16,443,12042,IP,TCP,113.90322580645162,9.769596015532608695652173913,10593,93,963.0,8.454545454545455,11,87.8787130568
7,200.18.102.16,199.46.35.126,12042,443,IP,TCP,54.0,9.876916400164835164835164835,4968,92,4968.0,92.0,1,0
8,200.18.102.27,224.0.1.129,319,319,IP,UDP,86.0,1.035846574675115207373271889,74734,869,74734.0,869.0,1,0
9,200.18.102.25,224.0.1.129,320,320,IP,UDP,93.97016274864376,0.4066956776892808683853459973,207862,2212,107.53336782203829,1.1443352302121055,1933,0.4654265752437888198757763975
10,200.18.102.25,224.0.1.129,319,319,IP,UDP,86.0,1.004585262550837988826815642,77056,896,77056.0,896.0,1,0
11,200.18.102.16,104.46.162.226,12305,443,IP,TCP,1173.392857142857,0.1059712870900900900900900901,131420,112,4380.666666666667,3.7333333333333334,30,0.3940884585517241379310344828
12,200.18.102.16,104.46.162.226,12306,443,IP,TCP,214.88888888888889,0.172442626,1934,9,322.3333333333333,1.5,6,0.2300572648
13,104.46.162.226,200.18.102.16,443,12305,IP,TCP,186.0344827586207,0.2004846160526315789473684211,10790,58,513.8095238095239,2.761904761904762,21,0.54289363765
14,104.46.162.226,200.18.102.16,443,12306,IP,TCP,880.75,0.1643099907142857142857142857,7046,8,880.75,1.0,8,0.1643099907142857142857142857
15,200.18.102.16,200.18.102.1,62450,53,IP,UDP,93.0,0,93,1,93.0,1.0,1,0
16,200.18.102.16,200.18.102.1,58901,53,IP,UDP,93.0,0,93,1,93.0,1.0,1,0
17,200.18.102.16,200.18.102.1,51325,53,IP,UDP,93.0,0,93,1,93.0,1.0,1,0
18,200.18.102.1,200.18.102.16,53,62450,IP,UDP,281.0,0,281,1,281.0,1.0,1,0
19,200.18.102.1,200.18.102.16,53,51325,IP,UDP,302.0,0,302,1,302.0,1.0,1,0
20,200.18.102.1,200.18.102.16,53,58901,IP,UDP,214.0,0,214,1,214.0,1.0,1,0
21,200.18.102.12,239.255.255.250,55636,1900,IP,UDP,218.0,1.007946130333333333333333333,872,4,872.0,4.0,1,0
22,200.18.102.16,200.18.102.1,54305,53,IP,UDP,75.0,0,75,1,75.0,1.0,1,0
23,200.18.102.1,200.18.102.16,53,54305,IP,UDP,103.0,0,103,1,103.0,1.0,1,0
24,200.18.102.16,200.18.102.1,60151,53,IP,UDP,75.0,0,75,1,75.0,1.0,1,0
25,200.18.102.16,200.18.102.1,64612,53,IP,UDP,75.0,0,75,1,75.0,1.0,1,0
26,200.18.102.1,200.18.102.16,53,60151,IP,UDP,91.0,0,91,1,91.0,1.0,1,0
27,200.18.102.1,200.18.102.16,53,64612,IP,UDP,125.0,0,125,1,125.0,1.0,1,0
28,2801:b0:b0:116:2901:e951:a480:6404,2800:3f0:4001:834::200e,49380,443,IPv6,UDP,897.1176470588235,0.0140758923125,15251,17,1525.1,1.7,10,0.02502380855555555555555555556
29,2800:3f0:4001:834::200e,2801:b0:b0:116:2901:e951:a480:6404,443,49380,IPv6,UDP,363.6666666666667,0.01371816314285714285714285714,5455,15,545.5,1.5,10,0.02133936488888888888888888889
30,2801:b0:b0:116:2901:e951:a480:6404,2800:3f0:4001:82c::200e,59687,443,IPv6,UDP,138.20698924731184,1.584980988568733153638814016,51413,372,604.8588235294118,4.376470588235295,85,6.983964049547619047619047619
31,2800:3f0:4001:82c::200e,2801:b0:b0:116:2901:e951:a480:6404,443,59687,IPv6,UDP,102.51206434316354,1.580801207303763440860215054,38237,373,367.66346153846155,3.5865384615384617,104,5.706050546621359223300970874
32,104.210.1.104,200.18.102.16,443,12082,IP,TCP,169.0,30.52275684003448275862068966,5070,30,169.0,1.0,30,30.52275684003448275862068966
33,200.18.102.16,104.210.1.104,12082,443,IP,TCP,54.5,30.51572541131034482758620690,1635,30,54.5,1.0,30,30.51572541131034482758620690
34,200.18.102.20,224.0.0.251,5353,5353,IP,UDP,87.0,119.9971394417142857142857143,696,8,696.0,8.0,1,0
35,fe80::8db8:5c32:e376:e4f5,ff02::fb,5353,5353,IPv6,UDP,107.0,120.0007063955714285714285714,856,8,856.0,8.0,1,0
36,200.18.102.20,239.255.255.250,63460,1900,IP,UDP,217.0,1.005693063333333333333333333,868,4,868.0,4.0,1,0
37,200.18.102.20,239.255.255.250,63461,1900,IP,UDP,212.0,1.010741093333333333333333333,848,4,848.0,4.0,1,0
38,200.18.102.16,200.18.102.1,57043,53,IP,UDP,96.0,0,96,1,96.0,1.0,1,0
39,200.18.102.16,200.18.102.1,54435,53,IP,UDP,96.0,0,96,1,96.0,1.0,1,0
40,200.18.102.16,200.18.102.1,56791,53,IP,UDP,96.0,0,96,1,96.0,1.0,1,0
41,200.18.102.1,200.18.102.16,53,54435,IP,UDP,205.0,0,205,1,205.0,1.0,1,0
