ID,SrcIP,DstIP,SrcPort,DstPort,IPVersion,Protocol,PS,IPI,FlowSizeBytes,FlowSizePackets,FS,FS(PKT),NumFrames,IFI
63,2804:38a:a220:2c3:9583:268b:8056:c88e,2804:38a:a220:2c3:8449:22f5:cf0c:e464,53,64818,IPv6,UDP,133.0,0,133,1,133.0,1.0,1,0
64,10.0.0.17,10.0.0.20,53057,53896,IP,UDP,372.0,0.066774701,1488,4,1488.0,4.0,1,0
65,10.0.0.17,10.0.0.20,51785,53896,IP,UDP,372.0,0.06675952533333333333333333333,1488,4,1488.0,4.0,1,0
66,10.0.0.17,10.0.0.20,37266,53896,IP,UDP,372.0,0.06686194933333333333333333333,1488,4,1488.0,4.0,1,0
67,10.0.0.20,20.83.119.12,12530,443,IP,TCP,54.52,29.994636534125,1363,25,54.52,1.0,25,29.994636534125
68,20.83.119.12,10.0.0.20,443,12530,IP,TCP,165.5,31.29848954208695652173913043,3972,24,172.69565217391303,1.0434782608695652,23,32.72114815763636363636363636
69,2804:38a:a220:2c3:8449:22f5:cf0c:e464,2800:3f0:4004:801::2004,51657,443,IPv6,UDP,449.14285714285717,0.0322490215,3144,7,524.0,1.1666666666666667,6,0.029730832
70,2800:3f0:4004:801::2004,2804:38a:a220:2c3:8449:22f5:cf0c:e464,443,51657,IPv6,UDP,656.6666666666666,0.0167917572,3940,6,788.0,1.2,5,0.0209896965
71,10.0.0.20,10.0.0.16,56056,53,IP,UDP,74.0,0,74,1,74.0,1.0,1,0
72,10.0.0.20,10.0.0.16,52387,53,IP,UDP,74.0,0,74,1,74.0,1.0,1,0
73,10.0.0.16,10.0.0.20,53,56056,IP,UDP,359.0,0,359,1,359.0,1.0,1,0
74,10.0.0.16,10.0.0.20,53,52387,IP,UDP,294.0,0,294,1,294.0,1.0,1,0
75,2804:38a:a220:2c3:8449:22f5:cf0c:e464,2804:38a:a220:2c3:9583:268b:8056:c88e,56056,53,IPv6,UDP,94.0,0,94,1,94.0,1.0,1,0
76,2804:38a:a220:2c3:9583:268b:8056:c88e,2804:38a:a220:2c3:8449:22f5:cf0c:e464,53,56056,IPv6,UDP,399.0,0,399,1,399.0,1.0,1,0
77,2804:38a:a220:2c3:8449:22f5:cf0c:e464,2804:38a:a220:2c3:9583:268b:8056:c88e,52387,53,IPv6,UDP,94.0,0,94,1,94.0,1.0,1,0
78,2804:38a:a220:2c3:9583:268b:8056:c88e,2804:38a:a220:2c3:8449:22f5:cf0c:e464,53,52387,IPv6,UDP,271.0,0,271,1,271.0,1.0,1,0
79,10.0.0.20,20.190.173.65,12632,443,IP,TCP,422.06666666666666,0.0868752045,6331,15,633.1,1.5,10,0.135139207
80,20.190.173.65,10.0.0.20,443,12632,IP,TCP,2168.5714285714284,0.2031941823333333333333333333,15180,7,2168.5714285714284,1.0,7,0.2031941823333333333333333333
81,10.0.0.20,10.0.0.16,52392,53,IP,UDP,96.0,0,96,1,96.0,1.0,1,0
82,10.0.0.20,10.0.0.16,52797,53,IP,UDP,96.0,0,96,1,96.0,1.0,1,0
83,10.0.0.20,10.0.0.16,62622,53,IP,UDP,96.0,0,96,1,96.0,1.0,1,0
84,10.0.0.16,10.0.0.20,53,52797,IP,UDP,205.0,0,205,1,205.0,1.0,1,0
85,10.0.0.16,10.0.0.20,53,62622,IP,UDP,247.0,0,247,1,247.0,1.0,1,0
86,10.0.0.16,10.0.0.20,53,52392,IP,UDP,247.0,0,247,1,247.0,1.0,1,0
87,10.0.0.20,20.241.33.111,12633,443,IP,TCP,341.8,0.440931605,3418,10,488.2857142857143,1.4285714285714286,7,0.109691756
88,20.241.33.111,10.0.0.20,443,12633,IP,TCP,798.0,0.5436855908571428571428571429,6384,8,912.0,1.1428571428571428,7,0.634299856
89,10.0.0.20,10.0.0.16,49971,53,IP,UDP,91.0,0,91,1,91.0,1.0,1,0
90,10.0.0.16,10.0.0.20,53,49971,IP,UDP,221.0,0,221,1,221.0,1.0,1,0
91,10.0.0.20,10.0.0.16,55794,53,IP,UDP,91.0,0,91,1,91.0,1.0,1,0
92,10.0.0.16,10.0.0.20,53,55794,IP,UDP,265.0,0,265,1,265.0,1.0,1,0
93,2804:38a:a220:2c3:8449:22f5:cf0c:e464,2804:38a:a220:2c3:9583:268b:8056:c88e,55794,53,IPv6,UDP,111.0,0,111,1,111.0,1.0,1,0
94,2804:38a:a220:2c3:9583:268b:8056:c88e,2804:38a:a220:2c3:8449:22f5:cf0c:e464,53,55794,IPv6,UDP,228.0,0,228,1,228.0,1.0,1,0
95,10.0.0.20,20.49.150.241,12636,443,IP,TCP,151.08333333333334,0.3903584363636363636363636364,1813,12,201.44444444444446,1.3333333333333333,9,0.442321112625
96,20.49.150.241,10.0.0.20,443,12636,IP,TCP,667.1428571428571,0.6817113796666666666666666667,4670,7,667.1428571428571,1.0,7,0.6817113796666666666666666667
97,10.0.0.20,10.0.0.16,64064,53,IP,UDP,93.0,0,93,1,93.0,1.0,1,0
98,10.0.0.20,10.0.0.16,59639,53,IP,UDP,93.0,0,93,1,93.0,1.0,1,0
99,10.0.0.20,10.0.0.16,63103,53,IP,UDP,93.0,0,93,1,93.0,1.0,1,0
100,10.0.0.16,10.0.0.20,53,64064,IP,UDP,283.0,0,283,1,283.0,1.0,1,0
101,10.0.0.16,10.0.0.20,53,59639,IP,UDP,226.0,0,226,1,226.0,1.0,1,0
