ID,SrcIP,DstIP,SrcPort,DstPort,IPVersion,Protocol,PS,IPI,FlowSizeBytes,FlowSizePackets,FS,FS(PKT),NumFrames,IFI
1,200.18.102.23,13.104.107.198,63991,1053,IP,UDP,132.26447765857722,0.01172094820061973518038720429,10158970,76808,228.75926051025692,1.7295593235605395,44409,0.02027226779960817870653936228
2,200.18.102.33,13.104.103.20,51119,1073,IP,UDP,131.83430699192127,0.01184523806380179208168313575,10019671,76002,233.24885350466747,1.769257629722746,42957,0.02095748994522301890306359996
3,13.104.107.198,200.18.102.23,1053,63991,IP,UDP,1076.3091927630212,0.001298442192308968206921120914,746235300,693328,3615.2884293957204,3.3589682720397653,206411,0.004361440966096603846712853059
4,13.104.103.20,200.18.102.33,1073,51119,IP,UDP,1068.876441295614,0.001366346529286594583437046571,704249552,658869,3419.0190892319642,3.1987037576463733,205980,0.004370550141499861636380407711
5,200.18.102.25,224.0.1.129,320,320,IP,UDP,94.00358102059087,0.4030752205154500671742051052,210004,2234,109.54825247782995,1.1653625456442358,1917,0.4697635529284968684759916493
6,200.18.102.23,34.196.233.7,54572,443,IP,TCP,252.71466768525593,0.3430065424210928544134505159,661607,2618,253.00458891013383,1.0011472275334607,2615,0.3430814262551644988523335884
7,200.18.102.25,224.0.1.129,319,319,IP,UDP,86.0,1.009101920327721661054994388,76712,892,76712.0,892.0,1,0
8,34.196.233.7,200.18.102.23,443,54572,IP,TCP,210.7708925525867,0.5105263420563139931740614334,370746,1759,212.21866056096164,1.006868918145392,1747,0.5140351141666666666666666667
9,200.18.102.33,4.151.113.44,57606,443,IP,TCP,96.74358974358974,11.10154977155844155844155844,7546,78,100.61333333333333,1.04,75,11.55161260013513513513513514
10,4.151.113.44,200.18.102.33,443,57606,IP,TCP,94.39622641509433,8.141553119838095238095238095,10006,106,164.0327868852459,1.7377049180327868,61,14.24771795971666666666666667
11,200.18.102.27,224.0.1.129,319,319,IP,UDP,86.0,1.004340602762011173184357542,77056,896,77056.0,896.0,1,0
12,200.18.102.22,200.18.102.23,22,54333,IP,TCP,98.09164086687306,0.5570376275954151177199504337,158418,1615,17602.0,179.44444444444446,9,100.8077964665
13,200.18.102.23,20.189.173.4,54548,443,IP,TCP,1317.9245689655172,0.3494715237624190064794816415,611517,464,5769.028301886792,4.377358490566038,106,1.539255712419047619047619048
14,20.189.173.4,200.18.102.23,443,54548,IP,TCP,64.25316455696202,0.5130834480253968253968253968,20304,316,441.39130434782606,6.869565217391305,46,3.005850973355555555555555556
15,199.46.35.128,200.18.102.33,443,57593,IP,TCP,78.0,9.814336975472527472527472527,7176,92,7176.0,92.0,1,0
16,200.18.102.33,199.46.35.128,57593,443,IP,TCP,54.0,10.03501875226966292134831461,4860,90,4860.0,90.0,1,0
17,2801:b0:b0:116:a4ea:8598:6ed6:9921,2800:3f0:4001:831::2003,64283,443,IPv6,UDP,112.5,0.03674758966666666666666666667,450,4,112.5,1.0,4,0.03674758966666666666666666667
18,2800:3f0:4001:831::2003,2801:b0:b0:116:a4ea:8598:6ed6:9921,443,64283,IPv6,UDP,115.25,0.03559572366666666666666666667,461,4,115.25,1.0,4,0.03559572366666666666666666667
19,199.46.35.125,200.18.102.33,443,57665,IP,TCP,78.0,10.08144275836363636363636364,6942,89,6942.0,89.0,1,0
20,200.18.102.33,199.46.35.125,57665,443,IP,TCP,54.0,10.19739738397701149425287356,4752,88,4752.0,88.0,1,0
21,2801:b0:b0:116:a4ea:8598:6ed6:9921,2800:3f0:4001:82c::200a,59978,443,IPv6,UDP,108.37604456824512,2.476349574648044692737430168,38907,359,286.08088235294116,2.639705882352941,136,6.566912205362962962962962963
22,2800:3f0:4001:82c::200a,2801:b0:b0:116:a4ea:8598:6ed6:9921,443,59978,IPv6,UDP,96.73262032085562,2.376700026085790884718498660,36178,374,254.77464788732394,2.6338028169014085,142,6.287298650567375886524822695
23,200.18.102.33,200.18.102.1,62707,53,IP,UDP,93.0,0,93,1,93.0,1.0,1,0
