ID,SrcIP,DstIP,SrcPort,DstPort,IPVersion,Protocol,PS,IPI,FlowSizeBytes,FlowSizePackets,FS,FS(PKT),NumFrames,IFI
1,200.18.102.29,13.104.106.28,52062,1107,IP,UDP,305.8119319307982,0.003875614891438845865247122450,21600720,70634,375.4035453597497,1.2275634341327772,57540,0.004757578453344687950781209267
2,13.104.106.26,200.18.102.4,1026,64815,IP,UDP,1005.2125967746765,0.001612370453015944679655215306,436389929,434127,2858.4430754518003,2.8436204287763562,152667,0.004584989030209738907156799811
3,200.18.102.4,13.104.106.26,64815,1026,IP,UDP,135.72101110070884,0.009361649195508833875001671816,10147860,74770,190.9107327626752,1.4066409556956072,53155,0.01316823517703277269819768973
4,13.104.106.28,200.18.102.29,1107,52062,IP,UDP,1174.6333685907123,0.001378797580717138698190279995,233211709,198540,6271.829523450947,5.339393287435456,37184,0.007362103457978108275287093564
5,34.196.233.7,200.18.102.4,443,8751,IP,TCP,210.01317715959004,0.5126465755706959706959706960,286878,1366,211.2503681885125,1.0058910162002945,1358,0.5156688103566691230655858511
6,200.18.102.4,34.196.233.7,8751,443,IP,TCP,254.99006951340616,0.3476062365191256830601092896,513550,2014,255.24353876739562,1.0009940357852882,2012,0.3479519413789159622078567877
7,200.18.102.25,224.0.1.129,320,320,IP,UDP,94.01029159519726,0.4002357435709382151029748284,164424,1749,106.49222797927462,1.1327720207253886,1544,0.4534102914854180168502916397
8,200.18.102.29,52.226.139.121,52234,443,IP,TCP,74.2,161.854005110,371,5,123.66666666666667,1.6666666666666667,3,323.708010220
9,52.226.139.121,200.18.102.29,443,52234,IP,TCP,93.0,215.7432883913333333333333333,372,4,186.0,2.0,2,647.229865174
10,200.18.102.27,224.0.1.129,319,319,IP,UDP,86.0,0.9954239304586894586894586895,60458,703,60458.0,703.0,1,0
11,200.18.102.3,200.18.102.4,22,5153,IP,TCP,97.96549019607843,0.5486471861875981161695447410,124906,1275,41635.333333333336,425.0,3,243.6885821215
12,200.18.102.25,224.0.1.129,319,319,IP,UDP,86.0,1.004421749616379310344827586,59942,697,59942.0,697.0,1,0
13,2801:b0:b0:116:fda9:d4a3:9112:1aff,2800:3f0:4003:c02::bc,7761,5228,IPv6,TCP,76.41176470588235,42.1750410804375,1299,17,324.75,4.25,4,179.8615192873333333333333333
14,2800:3f0:4003:c02::bc,2801:b0:b0:116:fda9:d4a3:9112:1aff,5228,7761,IPv6,TCP,86.11764705882354,42.1748585043125,1464,17,488.0,5.666666666666667,3,269.790407966
15,200.18.102.4,200.18.102.1,52756,53,IP,UDP,70.0,0,70,1,70.0,1.0,1,0
16,200.18.102.4,200.18.102.1,57022,53,IP,UDP,70.0,0,70,1,70.0,1.0,1,0
17,200.18.102.1,200.18.102.4,53,57022,IP,UDP,202.0,0,202,1,202.0,1.0,1,0
18,200.18.102.1,200.18.102.4,53,52756,IP,UDP,154.0,0,154,1,154.0,1.0,1,0
19,200.18.102.4,200.133.233.83,52756,53,IP,UDP,70.0,0,70,1,70.0,1.0,1,0
20,200.18.102.4,20.22.207.36,8789,443,IP,TCP,96.2,7.865156348928571428571428571,1443,15,131.1818181818182,1.3636363636363635,11,0.1585057933
21,200.133.233.83,200.18.102.4,53,52756,IP,UDP,154.0,0,154,1,154.0,1.0,1,0
22,20.22.207.36,200.18.102.4,443,8789,IP,TCP,629.25,9.996454251,7551,12,755.1,1.2,10,12.217888529
23,200.18.102.4,200.18.102.1,61088,53,IP,UDP,76.0,0,76,1,76.0,1.0,1,0
24,200.18.102.4,200.18.102.1,57618,53,IP,UDP,76.0,0,76,1,76.0,1.0,1,0
25,200.18.102.1,200.18.102.4,53,61088,IP,UDP,170.0,0,170,1,170.0,1.0,1,0
