ID,SrcIP,DstIP,SrcPort,DstPort,IPVersion,Protocol,PS,IPI,FlowSizeBytes,FlowSizePackets,FS,FS(PKT),NumFrames,IFI,Direction
2,200.18.102.102,54.88.135.88,65342,443,IP,TCP,212.7333333333333,21.51537,3191,15,319.1,1.5,10,33.46831677777777,Uplink
3,142.251.128.138,200.18.102.102,443,55685,IP,UDP,144.99212598425197,3.8968585,18414,127,152.1818181818182,1.0495867768595042,121,4.091701425,Uplink
4,200.18.102.102,142.251.128.138,55685,443,IP,UDP,148.53153153153153,4.463671,16487,111,191.7093023255814,1.2906976744186047,86,5.776429764705882,Downlink
5,54.88.135.88,200.18.102.102,443,65342,IP,TCP,453.6818181818182,14.343448333333331,9981,22,587.1176470588235,1.2941176470588236,17,18.817085375,Downlink
6,200.18.102.102,64.233.190.188,52714,5228,IP,TCP,55.77777777777778,43.29694556451613,3514,63,585.6666666666666,10.5,6,374.628774,Uplink
7,64.233.190.188,200.18.102.102,5228,52714,IP,TCP,66.03174603174604,43.29692374193548,4160,63,1386.6666666666667,21.0,3,96.4674545,Downlink
8,200.18.102.102,52.112.120.167,61756,443,IP,TCP,82.42748091603053,20.617621130769233,10798,131,84.359375,1.0234375,128,21.104651551181103,Uplink
11,200.18.102.102,44.207.128.88,65344,443,IP,TCP,397.6,7.010879916666666,9940,25,473.3333333333333,1.1904761904761905,21,3.4135389,Uplink
12,44.207.128.88,200.18.102.102,443,65344,IP,TCP,348.60714285714283,4.743614481481481,9761,28,390.44,1.12,25,5.336566291666666,Downlink
14,20.185.212.106,200.18.102.102,443,61803,IP,TCP,216.70535714285717,24.336300405405403,24271,112,337.09722222222223,1.5555555555555556,72,38.04689218309859,Uplink
15,200.18.102.102,20.185.212.106,61803,443,IP,TCP,1070.5107913669065,19.57363797826087,148801,139,1473.2772277227723,1.376237623762376,101,27.01162041,Downlink
16,200.18.102.102,172.217.173.74,61654,443,IP,UDP,211.75,1.2151856,3388,16,242.0,1.1428571428571428,14,1.4021372307692308,Uplink
17,172.217.173.74,200.18.102.102,443,61654,IP,UDP,286.7058823529412,1.136865375,4874,17,304.625,1.0625,16,1.2126564,Downlink
18,200.18.102.102,142.251.132.238,65224,443,IP,TCP,467.9782608695652,2.7883607664233576,64581,138,694.4193548387096,1.4838709677419355,93,4.152076326086957,Uplink
19,142.251.132.238,200.18.102.102,443,65224,IP,TCP,170.63398692810458,2.5131143684210526,26107,153,293.3370786516854,1.7191011235955056,89,4.340833909090909,Downlink
20,200.18.102.102,20.185.212.106,65215,443,IP,TCP,682.1578947368421,18.592400666666663,12961,19,997.0,1.4615384615384617,13,24.12601658333333,Uplink
21,20.185.212.106,200.18.102.102,443,65215,IP,TCP,135.46153846153845,30.945936916666664,1761,13,251.57142857142856,1.8571428571428568,7,48.25433316666666,Downlink
22,162.159.130.86,200.18.102.102,443,61871,IP,TCP,69.0,3.562090397097625,52371,759,103.5,1.5,506,5.346604916831684,Uplink
24,20.88.154.174,200.18.102.102,443,61770,IP,TCP,69.0,10.345345421455939,18078,262,69.0,1.0,262,10.345345421455939,Uplink
26,200.18.102.102,177.54.145.72,61907,443,IP,TCP,54.91785714285714,9.669334189964157,15377,280,327.17021276595744,5.957446808510638,47,51.89658834782609,Uplink
31,200.18.102.102,142.251.132.46,51748,443,IP,UDP,415.7272727272728,0.0168844,4573,11,457.3,1.1,10,0.0187604444444444,Uplink
33,200.18.102.102,142.251.132.238,65222,443,IP,TCP,765.6,1.8048560852130324,306240,400,1113.6,1.4545454545454546,275,2.628205580291971,Uplink
34,142.251.132.238,200.18.102.102,443,65222,IP,TCP,163.55726872246697,1.5896811766004415,74255,454,324.2576419213974,1.982532751091703,229,3.158445495614035,Downlink
35,142.251.132.46,200.18.102.102,443,51748,IP,UDP,526.8181818181819,0.0116053,5795,11,579.5,1.1,10,0.0128947777777777,Downlink
36,200.18.102.102,162.159.133.86,61841,443,IP,TCP,79.93385214007782,10.5477222265625,20543,257,95.99532710280374,1.2009345794392523,214,12.677074600938967,Uplink
37,162.159.133.86,200.18.102.102,443,61841,IP,TCP,111.35207100591715,8.012629231454007,37637,338,179.22380952380954,1.6095238095238096,210,12.919885411483252,Downlink
38,200.18.102.102,40.86.187.166,61714,443,IP,TCP,83.17582417582418,29.437165366666665,7569,91,84.1,1.011111111111111,90,29.767920033707863,Uplink
40,200.18.102.102,142.251.129.195,57602,443,IP,UDP,107.04150943396226,3.5379602159090906,28366,265,109.1,1.0192307692307692,260,3.591028895752896,Uplink
41,142.251.129.195,200.18.102.102,443,57602,IP,UDP,103.31698113207548,3.537908628787879,27379,265,103.31698113207548,1.0,265,3.537908628787879,Downlink
42,200.18.102.102,52.85.213.42,65282,443,IP,TCP,54.6,26.22104025,273,5,136.5,2.5,2,104.883918,Uplink
43,52.85.213.42,200.18.102.102,443,65282,IP,TCP,68.5,20.9774694,411,6,137.0,2.0,3,52.4360655,Downlink
44,200.18.102.102,162.159.134.234,65324,443,IP,TCP,70.3,15.239037222222223,703,10,78.11111111111111,1.1111111111111112,9,17.143916875,Uplink
45,162.159.134.234,200.18.102.102,443,65324,IP,TCP,135.0,11.42903275,1755,13,159.54545454545453,1.181818181818182,11,13.7139257,Downlink
49,200.18.102.102,142.250.218.238,60681,443,IP,UDP,292.60869565217394,0.1690418636363636,6730,23,305.90909090909093,1.0454545454545454,22,0.1770914761904761,Uplink
51,142.250.218.238,200.18.102.102,443,60681,IP,UDP,366.3076923076923,0.14819876,9524,26,414.0869565217391,1.1304347826086956,23,0.1684076818181818,Downlink
52,200.18.102.102,140.82.114.26,65239,443,IP,TCP,68.71428571428571,27.221328296296296,1924,28,71.25925925925925,1.037037037037037,27,28.26829419230769,Uplink
53,140.82.114.26,200.18.102.102,443,65239,IP,TCP,68.7560975609756,18.373621,2819,41,97.20689655172414,1.4137931034482758,29,26.242886714285717,Downlink
54,200.18.102.102,142.251.129.195,53482,443,IP,UDP,97.0,0.032914,388,4,97.0,1.0,4,0.032914,Uplink
55,142.251.129.195,200.18.102.102,443,53482,IP,UDP,89.0,0.0320056666666666,356,4,89.0,1.0,4,0.0320056666666666,Downlink
56,200.18.102.102,174.129.3.214,65135,443,IP,TCP,54.66666666666666,31.6924932,328,6,164.0,3.0,2,158.462314,Uplink
57,174.129.3.214,200.18.102.102,443,65135,IP,TCP,71.85714285714286,26.412171666666666,503,7,125.75,1.75,4,52.77366166666666,Downlink
58,54.77.52.141,200.18.102.102,80,64350,IP,TCP,62.06896551724138,93.20184285714285,1800,29,150.0,2.4166666666666665,12,237.24105454545452,Uplink
59,200.18.102.102,54.77.52.141,64350,80,IP,TCP,59.142857142857146,96.65581618518519,1656,28,87.15789473684211,1.4736842105263157,19,144.98372427777775,Downlink
63,200.18.102.102,64.233.186.84,61132,443,IP,UDP,517.8333333333334,0.0304298181818181,6214,12,564.9090909090909,1.0909090909090908,11,0.0334728,Uplink
65,64.233.186.84,200.18.102.102,443,61132,IP,UDP,365.2307692307692,0.02783475,4748,13,431.6363636363636,1.181818181818182,11,0.0334017,Downlink
70,200.18.102.102,52.208.73.114,65360,80,IP,TCP,160.8,0.116185,804,5,268.0,1.6666666666666667,3,0.2322625,Uplink
72,52.208.73.114,200.18.102.102,80,65360,IP,TCP,112.0,0.11528,560,5,186.66666666666663,1.6666666666666667,3,0.1158395,Downlink
73,200.18.102.102,142.250.218.238,58755,443,IP,UDP,438.75,0.0312693636363636,5265,12,438.75,1.0,12,0.0312693636363636,Uplink
74,142.250.218.238,200.18.102.102,443,58755,IP,UDP,390.75,0.0225366,6252,16,480.9230769230769,1.2307692307692308,13,0.02817075,Downlink
77,200.18.102.102,34.225.53.224,65370,443,IP,TCP,225.52941176470588,7.352809375,3834,17,319.5,1.4166666666666667,12,1.6070011818181817,Uplink
78,34.225.53.224,200.18.102.102,443,65370,IP,TCP,514.2666666666667,5.502502857142857,7714,15,642.8333333333334,1.25,12,7.003185454545455,Downlink
79,200.18.102.102,172.217.173.74,60863,443,IP,UDP,284.93333333333334,1.2799485714285714,4274,15,305.2857142857143,1.0714285714285714,14,1.3784061538461538,Uplink
80,172.217.173.74,200.18.102.102,443,60863,IP,UDP,313.4,1.2786192142857142,4701,15,335.7857142857143,1.0714285714285714,14,1.3769745384615384,Downlink
81,200.18.102.39,200.18.102.102,53207,5000,IP,UDP,1167.5762896124368,0.0007981549918463,64439703,55191,1541.3246986222732,1.320106199770379,41808,0.0010536554643959,Uplink
86,200.18.102.102,142.251.132.238,54538,443,IP,UDP,120.84842883548984,0.5292106962962962,65379,541,267.9467213114754,2.2172131147540983,244,1.1676037037037037,Uplink
87,142.251.132.238,200.18.102.102,443,54538,IP,UDP,125.16964285714286,0.5114020733452593,70095,560,282.64112903225805,2.2580645161290325,248,1.1568685060728745,Downlink
91,200.18.102.102,200.18.102.1,5351,5351,IP,UDP,50.66666666666666,504.1944422,304,6,76.0,1.5,4,840.3240703333332,Uplink
96,200.18.102.39,200.18.102.102,41203,5000,IP,UDP,1164.2097969199792,0.0009147526820827,74009981,63571,1512.0432508631786,1.2987721412956872,48947,0.0011880608834225,Uplink
