ID,SrcIP,DstIP,SrcPort,DstPort,IPVersion,Protocol,PS,IPI,FlowSizeBytes,FlowSizePackets,FS,FS(PKT),NumFrames,IFI,Direction
2,200.18.102.102,35.190.80.1,59175,443,IP,UDP,1009.6666666666666,0.0179310588235294,18174,18,2271.75,2.25,8,0.0435468571428571,Uplink
3,200.18.102.102,35.190.80.1,59912,443,IP,TCP,103.23776223776224,9.720668633802818,14763,143,103.23776223776224,1.0,143,9.720668633802818,Uplink
4,35.190.80.1,200.18.102.102,443,59912,IP,TCP,78.32214765100672,9.326566182432432,11670,149,159.86301369863014,2.041095890410959,73,19.171274930555555,Downlink
5,200.18.102.102,20.185.212.106,60333,443,IP,TCP,673.6785714285714,12.212139407407408,18863,28,898.2380952380952,1.3333333333333333,21,14.22707065,Uplink
6,35.190.80.1,200.18.102.102,443,59175,IP,UDP,289.5,0.0234021538461538,4053,14,506.625,1.75,8,0.0434611428571428,Downlink
7,200.18.102.102,34.199.212.30,60523,443,IP,TCP,419.375,6.428826695652174,10065,24,503.25,1.2,20,2.478285210526316,Uplink
8,20.185.212.106,200.18.102.102,443,60333,IP,TCP,128.78947368421052,20.14166688888889,2447,19,271.8888888888889,2.111111111111111,9,35.573685625,Downlink
9,34.199.212.30,200.18.102.102,443,60523,IP,TCP,186.29166666666663,4.65212552173913,4471,24,186.29166666666663,1.0,24,4.65212552173913,Downlink
10,200.18.102.102,142.251.132.46,65413,443,IP,UDP,175.15828220858896,1.7383206449631448,142754,815,208.4,1.1897810218978102,685,2.0687032236842104,Uplink
11,142.251.132.46,200.18.102.102,443,65413,IP,UDP,217.8847320525784,1.4321762550607289,215488,989,239.165371809101,1.097669256381798,901,1.5722112666666666,Downlink
12,200.18.102.102,162.159.130.86,59608,443,IP,TCP,89.61377245508982,4.243945447447448,29931,334,399.08,4.453333333333333,75,18.651815878378375,Uplink
13,162.159.130.86,200.18.102.102,443,59608,IP,TCP,83.47126436781609,2.7125439193857965,43572,522,115.57559681697612,1.3846153846153846,377,3.7586047393617026,Downlink
14,200.18.102.102,142.251.132.10,49575,443,IP,UDP,110.4472049689441,1.7538942736318408,88910,805,264.61309523809524,2.395833333333333,336,4.209346256716418,Uplink
15,142.251.132.10,200.18.102.102,443,49575,IP,UDP,109.42431466030988,1.6827150811455849,91807,839,212.5162037037037,1.942129629629629,432,3.2717290904872387,Downlink
16,200.18.102.102,40.86.187.166,59583,443,IP,TCP,83.5,27.055623058823528,4342,52,83.5,1.0,52,27.055623058823528,Uplink
18,200.18.102.102,104.18.37.228,55984,443,IP,UDP,781.5342465753424,0.3031436251338043,3651328,4672,1325.3459165154266,1.695825771324864,2755,0.5141553641975308,Uplink
19,104.18.37.228,200.18.102.102,443,55984,IP,UDP,433.829441091577,0.371184778215223,1653324,3811,476.4622478386167,1.098270893371758,3470,0.4076719530123955,Downlink
20,3.212.216.8,200.18.102.102,443,60544,IP,TCP,124.16666666666669,59.756097,745,6,149.0,1.2,5,74.65880075,Uplink
21,200.18.102.102,3.212.216.8,60544,443,IP,TCP,67.5,99.54579733333331,270,4,90.0,1.3333333333333333,3,149.318696,Downlink
22,200.18.102.11,200.18.102.127,138,138,IP,UDP,228.0,163.285713625,2052,9,513.0,2.25,4,432.66598066666666,Uplink
23,200.18.102.102,177.54.145.72,59593,443,IP,TCP,54.93377483443709,9.35616242,8295,151,395.0,7.190476190476191,21,61.65598425,Uplink
25,20.185.212.106,200.18.102.102,443,59682,IP,TCP,234.27272727272728,21.416715353846158,15462,66,377.1219512195122,1.6097560975609757,41,34.80080625,Downlink
26,200.18.102.102,20.185.212.106,59682,443,IP,TCP,1044.8961038961038,18.31428625,80457,77,1387.1896551724135,1.3275862068965518,58,24.419048333333333,Uplink
27,200.18.102.102,64.233.190.188,59669,5228,IP,TCP,55.78125,44.02110516129032,1785,32,595.0,10.666666666666666,3,186.6038275,Uplink
28,64.233.190.188,200.18.102.102,5228,59669,IP,TCP,66.18181818181819,42.642482,2184,33,728.0,11.0,3,164.0264075,Downlink
30,200.18.102.102,13.227.126.44,60489,443,IP,TCP,54.66666666666666,29.9843402,328,6,164.0,3.0,2,149.921466,Uplink
32,13.227.126.44,200.18.102.102,443,60489,IP,TCP,68.14285714285714,24.98774733333333,477,7,159.0,2.333333333333333,3,74.9551925,Downlink
33,200.18.102.102,64.233.186.84,62443,443,IP,UDP,300.75,0.0454025714285714,2406,8,300.75,1.0,8,0.0454025714285714,Uplink
34,23.37.8.153,200.18.102.102,443,60463,IP,TCP,72.5,0.000193,145,2,72.5,1.0,2,0.000193,Uplink
36,64.233.186.84,200.18.102.102,443,62443,IP,UDP,410.6666666666667,0.03659675,3696,9,410.6666666666667,1.0,9,0.03659675,Downlink
37,2.18.127.250,200.18.102.102,443,60464,IP,TCP,72.5,0.000415,145,2,72.5,1.0,2,0.000415,Uplink
43,200.18.102.102,142.251.129.195,55433,443,IP,UDP,266.90909090909093,0.0149265,2936,11,326.22222222222223,1.2222222222222223,9,0.018658125,Uplink
45,142.251.129.195,200.18.102.102,443,55433,IP,UDP,375.0769230769231,0.0103949166666666,4876,13,406.3333333333333,1.0833333333333333,12,0.011339909090909,Downlink
46,2.18.127.214,200.18.102.102,443,60461,IP,TCP,72.5,0.00035,145,2,72.5,1.0,2,0.00035,Uplink
49,2.18.127.229,200.18.102.102,443,60462,IP,TCP,72.5,0.001014,145,2,72.5,1.0,2,0.001014,Uplink
54,200.18.102.102,34.225.53.224,60554,443,IP,TCP,175.27272727272728,7.833946,1928,11,275.42857142857144,1.5714285714285714,7,0.13295,Uplink
55,34.225.53.224,200.18.102.102,443,60554,IP,TCP,577.6666666666666,5.509706181818181,6932,12,770.2222222222222,1.3333333333333333,9,7.575846,Downlink
64,200.18.102.102,142.251.129.234,52823,443,IP,UDP,271.6666666666667,0.033591,2445,9,305.625,1.125,8,0.0383897142857142,Uplink
65,142.251.129.234,200.18.102.102,443,52823,IP,UDP,432.9,0.0240007777777777,4329,10,481.0,1.1111111111111112,9,0.027000875,Downlink
67,200.18.102.102,54.77.143.119,59581,80,IP,TCP,156.11764705882354,80.915435625,2654,17,241.27272727272728,1.5454545454545454,11,129.464697,Uplink
68,200.18.102.102,54.194.213.123,60561,80,IP,TCP,323.8333333333333,0.138541,1943,6,485.75,1.5,4,0.230864,Uplink
70,54.194.213.123,200.18.102.102,80,60561,IP,TCP,139.5,0.1384972,837,6,279.0,2.0,3,0.232065,Downlink
71,54.77.143.119,200.18.102.102,80,59581,IP,TCP,74.0,80.900854625,1258,17,179.71428571428572,2.4285714285714284,7,170.7650865,Downlink
73,200.18.102.102,162.159.130.234,60495,443,IP,TCP,67.33333333333333,12.659879636363636,808,12,80.8,1.2,10,15.473176111111112,Uplink
74,162.159.130.234,200.18.102.102,443,60495,IP,TCP,80.78571428571429,10.713258923076925,1131,14,94.25,1.1666666666666667,12,12.658962454545454,Downlink
77,200.18.102.39,200.18.102.102,52973,5000,IP,UDP,982.838952010764,0.0009234368155484,26296839,26756,986.8222380666466,1.00405283698589,26648,0.0009271794948774,Uplink
82,200.18.102.102,142.250.79.202,59182,443,IP,UDP,143.02898550724638,0.0088765882352941,9869,69,411.2083333333333,2.875,24,0.0250290434782608,Uplink
83,142.250.79.202,200.18.102.102,443,59182,IP,UDP,1277.0688073394494,0.0025714746543778,278401,218,34800.125,27.25,8,0.0797157142857142,Downlink
85,200.18.102.102,142.251.129.195,64058,443,IP,UDP,352.6666666666667,0.0319310909090909,4232,12,423.2,1.2,10,0.0390268888888888,Uplink
86,142.251.129.195,200.18.102.102,443,64058,IP,UDP,415.53333333333336,0.0177702857142857,6233,15,479.46153846153845,1.1538461538461535,13,0.020732,Downlink
90,200.18.102.102,35.190.80.1,65249,443,IP,UDP,1010.9444444444443,0.018255294117647,18197,18,2274.625,2.25,8,0.0443342857142857,Uplink
91,200.18.102.102,216.239.34.117,57157,443,IP,UDP,248.5,0.0200060526315789,4970,20,276.1111111111111,1.1111111111111112,18,0.0223597058823529,Uplink
92,216.239.34.117,200.18.102.102,443,57157,IP,UDP,494.875,0.0271978666666666,7918,16,565.5714285714286,1.1428571428571428,14,0.0313821538461538,Downlink
93,35.190.80.1,200.18.102.102,443,65249,IP,UDP,289.5,0.0239396923076923,4053,14,506.625,1.75,8,0.0444594285714285,Downlink
