ID,SrcIP,DstIP,SrcPort,DstPort,IPVersion,Protocol,PS,IPI,FlowSizeBytes,FlowSizePackets,FS,FS(PKT),NumFrames,IFI,Direction
1,200.18.102.39,200.18.102.102,35467,5000,IP,UDP,1316.3898954053043,0.000335282599052,56383612,42832,4360.007114135478,3.312094030312404,12932,0.0011105474441265,Uplink
2,200.18.102.102,20.185.212.106,56277,443,IP,TCP,1060.3846153846157,18.154380289473686,41355,39,1426.0344827586207,1.3448275862068966,29,24.638087535714284,Uplink
3,172.64.150.28,200.18.102.102,443,65436,IP,UDP,424.4335877862595,0.3589361451120162,834012,1965,487.44126241963767,1.1484511981297487,1711,0.4122518064327485,Uplink
4,200.18.102.102,172.64.150.28,65436,443,IP,UDP,822.2788154897494,0.3213077670920692,1804902,2195,1686.8242990654203,2.0514018691588785,1070,0.6594310355472404,Downlink
5,2800:3f0:4001:808::200a,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,49303,IPv6,UDP,165.60487804878048,3.4176973970588236,33949,205,205.75151515151515,1.2424242424242424,165,4.182451006097561,Uplink
6,2801:b0:b0:116:f1a2:45bb:19b:adb8,2800:3f0:4001:808::200a,49303,443,IPv6,UDP,174.7173913043478,3.8098882677595625,32148,184,232.95652173913044,1.3333333333333333,138,5.006727693430657,Downlink
7,2801:b0:b0:116:f1a2:45bb:19b:adb8,2800:3f0:4001:82e::200a,56014,443,IPv6,UDP,245.3846153846154,0.2908880833333333,3190,13,265.8333333333333,1.0833333333333333,12,0.3173324545454545,Uplink
8,2800:3f0:4001:82e::200a,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,56014,IPv6,UDP,348.2857142857143,0.2661885384615384,4876,14,375.0769230769231,1.0769230769230769,13,0.2883709166666666,Downlink
9,20.185.212.106,200.18.102.102,443,56277,IP,TCP,205.625,22.25381377419355,6580,32,313.3333333333333,1.5238095238095235,21,34.49341135,Downlink
16,2801:b0:b0:116:f1a2:45bb:19b:adb8,2800:3f0:4001:831::2003,64271,443,IPv6,UDP,130.5482233502538,3.5568771122448974,25718,197,131.21428571428572,1.0051020408163265,196,3.575117507692308,Uplink
17,2800:3f0:4001:831::2003,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,64271,IPv6,UDP,140.39698492462313,3.5207956262626263,27939,199,141.8223350253807,1.0101522842639594,197,3.5567221122448975,Downlink
