ID,SrcIP,DstIP,SrcPort,DstPort,IPVersion,Protocol,PS,IPI,FlowSizeBytes,FlowSizePackets,FS,FS(PKT),NumFrames,IFI
1,200.18.102.23,13.104.105.120,64405,1039,IP,UDP,142.2349668154251,0.01287497879273647923788817210,9943931,69912,235.4094600033143,1.6550744537297886,42241,0.02130842651077178030303030303
2,200.18.102.23,20.189.173.9,36971,443,IP,TCP,1348.6222222222223,0.06755664035955056179775280899,121376,90,11034.181818181818,8.181818181818182,11,0.356375390
3,13.104.105.120,200.18.102.23,1039,64405,IP,UDP,1134.8911576829114,0.0007993507452066959726477509880,1277945323,1126051,6212.484434095262,5.474079511535881,205706,0.004375726732325417466760652391
4,34.196.233.7,200.18.102.23,443,36970,IP,TCP,209.8335260115607,0.5181414491405436668594563331,363012,1730,210.44173913043477,1.0028985507246377,1725,0.5196441795614849187935034803
5,200.18.102.23,34.196.233.7,36970,443,IP,TCP,254.20397815912636,0.3495080762902848224736636754,651779,2564,254.5017571261226,1.0011714174150723,2561,0.349855683341015625
6,20.189.173.9,200.18.102.23,443,36971,IP,TCP,69.2156862745098,0.11653076262,3530,51,441.25,6.375,8,0.8323625901428571428571428571
7,2801:b0:b0:116:58ab:166a:ce97:90db,2800:3f0:4001:82d::200e,62951,443,IPv6,UDP,106.33152173913044,1.020060636438692098092643052,39130,368,358.9908256880734,3.376146788990826,109,3.459783300018518518518518519
8,2800:3f0:4001:82d::200e,2801:b0:b0:116:58ab:166a:ce97:90db,443,62951,IPv6,UDP,482.4854368932039,0.7284085074922178988326848249,248480,515,2020.1626016260163,4.186991869918699,123,3.068522589803278688524590164
9,200.18.102.22,200.18.102.23,22,36853,IP,TCP,97.97640891218873,0.5895224542078688524590163934,149512,1526,29902.4,305.2,5,192.1401116055
10,200.18.102.25,224.0.1.129,319,319,IP,UDP,86.0,1.013648314436302142051860203,76368,888,76368.0,888.0,1,0
11,200.18.102.25,224.0.1.129,320,320,IP,UDP,93.997299729973,0.4048360011454299864925709140,208862,2222,107.99482936918304,1.1489141675284384,1934,0.4651530049374030005173305742
12,200.18.102.27,224.0.1.129,319,319,IP,UDP,86.0,1.012319545322072072072072072,76454,889,76454.0,889.0,1,0
13,20.110.86.75,200.18.102.23,443,36827,IP,TCP,165.5,30.52416478620689655172413793,4965,30,165.5,1.0,30,30.52416478620689655172413793
14,200.18.102.23,20.110.86.75,36827,443,IP,TCP,54.5,30.51799719855172413793103448,1635,30,54.5,1.0,30,30.51799719855172413793103448
15,199.46.35.125,200.18.102.23,443,36828,IP,TCP,78.0,10.00733079377528089887640449,7020,90,7020.0,90.0,1,0
16,200.18.102.23,199.46.35.125,36828,443,IP,TCP,54.0,10.00826089471910112359550562,4860,90,4860.0,90.0,1,0
17,200.18.102.23,20.96.153.111,36964,443,IP,TCP,54.0,0,54,1,54.0,1.0,1,0
18,2801:b0:b0:116:58ab:166a:ce97:90db,2800:3f0:4003:c01::bc,36152,5228,IPv6,TCP,76.14285714285714,42.7646665903,1599,21,399.75,5.25,4,164.8614880823333333333333333
19,2800:3f0:4003:c01::bc,2801:b0:b0:116:58ab:166a:ce97:90db,5228,36152,IPv6,TCP,86.0952380952381,42.7645721709,1808,21,602.6666666666666,7.0,3,247.2899793125
20,200.18.102.15,239.255.255.250,59534,1900,IP,UDP,210.0,1.007230405333333333333333333,840,4,840.0,4.0,1,0
21,200.18.102.9,239.255.255.250,40175,1900,IP,UDP,210.0,1.006981330,840,4,840.0,4.0,1,0
22,200.18.102.23,4.151.113.44,36972,443,IP,TCP,241.46153846153845,0.18192398275,3139,13,348.77777777777777,1.4444444444444444,9,0.057083693125
23,4.151.113.44,200.18.102.23,443,36972,IP,TCP,439.15384615384613,0.1690339029166666666666666667,5709,13,570.9,1.3,10,0.054904999
24,2603:1050:4:ad::adb:ad11,2801:b0:b0:116:58ab:166a:ce97:90db,9002,64406,IPv6,UDP,158.0,25.84489043627272727272727273,5372,34,5372.0,34.0,1,0
25,2801:b0:b0:116:58ab:166a:ce97:90db,2603:1050:4:ad::adb:ad11,64406,9002,IPv6,UDP,138.0,25.84502925872727272727272727,4692,34,4692.0,34.0,1,0
26,200.18.102.28,239.255.255.250,57289,1900,IP,UDP,216.0,1.014796396,864,4,864.0,4.0,1,0
27,200.18.102.23,200.18.102.1,59710,53,IP,UDP,93.0,0,93,1,93.0,1.0,1,0
28,200.18.102.23,200.18.102.1,49921,53,IP,UDP,93.0,0,93,1,93.0,1.0,1,0
29,200.18.102.23,200.18.102.1,59531,53,IP,UDP,93.0,0,93,1,93.0,1.0,1,0
