ID,SrcIP,DstIP,SrcPort,DstPort,IPVersion,Protocol,PS,IPI,FlowSizeBytes,FlowSizePackets,FS,FS(PKT),NumFrames,IFI
1,13.104.105.234,200.18.102.23,1063,53567,IP,UDP,1124.74082993791,0.0008709206840187402394586153045,1162418523,1033499,5710.0539508974625,5.0767730653226835,203574,0.004421484111802645733962755375
2,200.18.102.23,13.104.105.234,53567,1063,IP,UDP,141.8779544968262,0.01283926599650519228574689033,9946354,70105,236.73340473640366,1.6685707485421872,42015,0.02142342798636168896082258295
3,34.196.233.7,200.18.102.23,443,50909,IP,TCP,208.75324675324674,0.5054894163361581920903954802,369702,1771,211.2582857142857,1.012,1750,0.5115587575271583762149799886
4,2801:b0:b0:116:585b:e9e7:84be:33a3,2800:3f0:4001:801::200e,64108,443,IPv6,UDP,127.15921288014312,1.612348864507168458781362007,71082,559,542.6106870229007,4.267175572519084,131,6.902723782530769230769230769
5,2800:3f0:4001:801::200e,2801:b0:b0:116:585b:e9e7:84be:33a3,443,64108,IPv6,UDP,107.26032315978456,1.618146932034172661870503597,59744,557,387.94805194805195,3.616883116883117,154,5.863521869542483660130718954
6,200.18.102.23,34.196.233.7,50909,443,IP,TCP,253.71243818942563,0.3404945909071537290715372907,667010,2629,254.002284843869,1.001142421934501,2626,0.3407726744350476190476190476
7,200.18.102.27,224.0.1.129,319,319,IP,UDP,86.0,0.9823825791584699453551912568,78776,916,78776.0,916.0,1,0
8,200.18.102.25,224.0.1.129,320,320,IP,UDP,94.0159080866107,0.3977629804995579133510167993,212758,2263,107.45353535353536,1.142929292929293,1980,0.4546436896867104598281960586
9,2801:b0:b0:116:585b:e9e7:84be:33a3,2800:3f0:4001:82e::200a,52195,443,IPv6,UDP,105.12084063047286,1.574038408882456140350877193,60024,571,394.89473684210526,3.7565789473684212,152,5.941734391145695364238410596
10,2800:3f0:4001:82e::200a,2801:b0:b0:116:585b:e9e7:84be:33a3,443,52195,IPv6,UDP,96.78803418803419,1.536301245797945205479452055,56621,585,345.25,3.567073170731707,164,5.504294034024539877300613497
11,200.18.102.22,200.18.102.23,22,50653,IP,TCP,97.97225725094577,0.5674013889817034700315457413,155384,1586,51794.666666666664,528.6666666666666,3,282.787422907
12,200.18.102.25,224.0.1.129,319,319,IP,UDP,86.0,1.002349022082497212931995541,77228,898,77228.0,898.0,1,0
